# RB2(SoH) generalisee gamma — min deg s.c. LPSP<=cap — 25 ans — metrics() commun
# REF RB2(0.45, 0.33) : LPSP_cap=2.4540%  deg_cible=65.42kEUR
phase;c_fc;c_ely;g_fc;g_ely;faisable;LPSP_%;deg_kEUR;vie_bat;vie_fc;vie_ely
1;0.500;0.340;2.0;1.0;0;2.5400;65.09;3.9543378995433787;12.584474885844749;12.826369863013698
2;0.445;0.330;0.5;0.0;0;2.5806;65.10;3.912214611872146;12.574543378995433;12.831392694063927
2;0.440;0.330;0.5;0.0;0;2.6255;65.11;3.9090182648401823;12.589840182648402;12.842351598173515
1;0.475;0.330;0.0;0.0;0;2.7127;65.18;3.9462328767123287;12.626712328767123;12.648287671232877
1;0.450;0.340;1.0;1.0;0;2.6222;65.25;3.907876712328767;12.596575342465753;12.892123287671232
1;0.500;0.340;0.0;1.0;0;3.1950;65.33;3.9656392694063927;12.654109589041095;12.486643835616437
1;0.500;0.340;1.0;1.0;0;2.7854;65.37;3.959931506849315;12.64200913242009;12.618150684931507
2;0.440;0.330;0.0;0.0;0;2.5259;65.38;3.9106164383561643;12.560844748858447;12.721917808219178
2;0.445;0.330;0.0;0.0;0;2.4835;65.41;3.914497716894977;12.554223744292237;12.689269406392693
2;0.445;0.335;0.5;0.5;0;2.5649;65.44;3.9051369863013696;12.574543378995433;12.754794520547945
2;0.450;0.335;0.5;0.5;0;2.5215;65.47;3.9090182648401823;12.560844748858447;12.724885844748858
2;0.440;0.335;0.5;0.5;0;2.6065;65.48;3.9023972602739723;12.589840182648402;12.757534246575341
2;0.455;0.335;0.5;0.5;0;2.4762;65.51;3.9133561643835617;12.557077625570775;12.689383561643835
1;0.475;0.340;0.0;1.0;0;2.7558;65.62;3.9391552511415524;12.642922374429224;12.522260273972602
1;0.450;0.340;0.0;1.0;0;2.5346;65.66;3.9106164383561643;12.567808219178081;12.629109589041095
2;0.440;0.335;0.0;0.5;0;2.5172;65.70;3.903538812785388;12.560844748858447;12.629109589041095
2;0.445;0.335;0.0;0.5;0;2.4882;65.70;3.90662100456621;12.557077625570775;12.612671232876712
2;0.450;0.335;0.0;0.5;0;2.4755;65.71;3.9106164383561643;12.557077625570775;12.596232876712328
2;0.455;0.335;0.0;0.5;0;2.4887;65.71;3.9146118721461187;12.55810502283105;12.566095890410958
2;0.455;0.335;0.5;0.0;0;2.4658;66.71;3.9118721461187214;12.557077625570775;11.620890410958904
2;0.450;0.335;0.5;0.0;0;2.5090;66.74;3.908904109589041;12.560844748858447;11.645319634703196
2;0.440;0.335;0.0;0.0;0;2.4993;66.76;3.902511415525114;12.560844748858447;11.571575342465753
2;0.445;0.335;0.5;0.0;0;2.5484;66.76;3.9051369863013696;12.574543378995433;11.661872146118721
