# RB2(SoH) generalisee SoH^gamma — 25 ans — estimateur metrics() commun
# RB2 = sous-ensemble (g_fc=g_ely=0) ; RB2(SoH) = (g_fc=g_ely=1)
# REF_RB2=(0.45, 0.33) -> LPSP_nominale=2.4540%
c_fc;c_ely;g_fc;g_ely;LPSP_%;deg_kEUR;vie_bat;vie_fc;vie_ely
0.475;0.450;2.0;0.0;2.5280;94.29;3.9117579908675797;12.603538812785388;4.738584474885845
0.475;0.450;2.0;1.0;2.5285;90.64;3.9133561643835617;12.603538812785388;5.113812785388128
0.475;0.450;2.0;2.0;2.5570;87.21;3.9148401826484016;12.603538812785388;5.598858447488584
0.475;0.330;1.0;1.0;2.5596;60.37;3.9418949771689498;12.570662100456621;15.785159817351598
0.475;0.400;2.0;0.0;2.5709;84.77;3.918835616438356;12.603538812785388;6.050799086757991
0.475;0.360;2.0;1.0;2.5854;70.70;3.9199771689497718;12.603538812785388;9.560502283105022
0.475;0.360;2.0;0.0;2.5865;74.90;3.921118721461187;12.603538812785388;8.360273972602739
0.475;0.400;2.0;1.0;2.5933;80.61;3.9215753424657533;12.603538812785388;6.719178082191781
0.475;0.400;2.0;2.0;2.5975;77.25;3.9228310502283104;12.603538812785388;7.579680365296803
0.475;0.360;2.0;2.0;2.5976;67.21;3.9215753424657533;12.603538812785388;11.645319634703196
0.475;0.330;2.0;0.0;2.6339;64.26;3.9390410958904107;12.606278538812784;13.157648401826483
0.475;0.360;0.0;2.0;2.6651;67.42;3.938013698630137;12.623972602739725;11.196118721461186
0.475;0.330;2.0;1.0;2.6940;60.60;3.9381278538812783;12.606278538812784;15.826027397260274
0.475;0.330;0.0;0.0;2.7127;65.18;3.9462328767123287;12.626712328767123;12.648287671232877
0.400;0.450;0.0;0.0;2.7512;91.08;3.8534246575342466;12.673059360730592;5.352054794520548
0.400;0.450;0.0;1.0;2.7618;88.25;3.8560502283105023;12.673059360730592;5.713584474885844
0.550;0.400;1.0;2.0;2.7626;80.12;4.021803652968036;12.639155251141553;6.771575342465753
0.400;0.450;0.0;2.0;2.7857;85.51;3.857077625570776;12.673059360730592;6.2095890410958905
0.550;0.360;2.0;1.0;2.7897;71.83;4.009132420091324;12.626712328767123;8.924657534246576
0.475;0.300;2.0;0.0;2.7925;58.22;3.9256849315068494;12.644634703196347;20.387785388127853
0.400;0.400;0.0;0.0;2.8084;82.67;3.8623287671232878;12.673059360730592;6.596232876712328
0.400;0.360;0.0;0.0;2.8158;73.54;3.8623287671232878;12.673059360730592;8.812442922374428
0.400;0.360;0.0;1.0;2.8179;69.99;3.8614155251141553;12.673059360730592;10.042694063926941
0.400;0.400;0.0;1.0;2.8266;79.29;3.8641552511415522;12.673059360730592;7.258904109589041
0.400;0.400;0.0;2.0;2.8320;76.25;3.8651826484018263;12.673059360730592;8.165981735159818
0.400;0.360;0.0;2.0;2.8320;67.05;3.865296803652968;12.673059360730592;11.949543378995433
0.400;0.300;0.0;0.0;2.8371;58.65;3.8832191780821916;12.673059360730592;19.803995433789954
0.475;0.330;2.0;2.0;2.8387;57.90;3.939269406392694;12.606278538812784;21.49486301369863
